open,high,low,close,volume,start_Time,date
3790.0,3832.0,3773.0,3811.1,825907.0,1388514600.0,2024-01-01
3811.1,3811.1,3767.25,3783.2,1344068.0,1388601000.0,2024-01-02
3767.0,3771.85,3687.05,3691.75,1803075.0,1388687400.0,2024-01-03
3701.75,3719.0,3651.0,3666.8,3598144.0,1388773800.0,2024-01-04
3675.0,3747.75,3674.85,3737.9,1963127.0,1388860200.0,2024-01-05
3737.9,3739.75,3672.4,3678.3,1067805.0,1389119400.0,2024-01-08
3709.95,3752.35,3682.75,3689.9,1370944.0,1389205800.0,2024-01-09
3690.0,3729.25,3688.0,3713.05,1292227.0,1389292200.0,2024-01-10
3724.0,3773.0,3707.0,3735.55,1777909.0,1389378600.0,2024-01-11
3848.0,3905.25,3821.6,3882.8,6813450.0,1389465000.0,2024-01-12
3960.0,3965.0,3885.0,3903.8,2801505.0,1389724200.0,2024-01-15
3899.0,3899.0,3855.55,3861.3,1432672.0,1389810600.0,2024-01-16
3819.0,3909.95,3812.55,3884.6,3458696.0,1389897000.0,2024-01-17
3898.0,3908.8,3862.0,3902.6,2239110.0,1389983400.0,2024-01-18
3945.0,3963.55,3915.05,3943.05,2941975.0,1390069800.0,2024-01-19
3948.0,3955.65,3855.55,3860.65,516477.0,1390156200.0,2024-01-20
3900.0,3933.9,3842.75,3858.25,2618854.0,1390415400.0,2024-01-23
3880.0,3883.65,3805.6,3841.8,2657709.0,1390501800.0,2024-01-24
3839.9,3861.0,3778.7,3810.3,2205154.0,1390588200.0,2024-01-25
3800.8,3820.0,3780.85,3801.0,1646747.0,1390933800.0,2024-01-29
3807.45,3847.8,3787.0,3800.55,1411621.0,1391020200.0,2024-01-30
